paper_dataset_name,repo_dataset_name,task,robust_mode,paper,T,checkpoint_path,baseline_accuracy,adaptive_accuracy,accuracy_delta,baseline_macro_f1,adaptive_macro_f1,macro_f1_delta,baseline_total_sec,adaptive_total_sec,speedup,avg_subgraphs_saved,direct_route_ratio,early_stop_ratio_realized,base_confidence_mean
AIDS,AIDS,graph,e,GCN,10,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\AIDS\10\best_model.zip,0.975346687211094,0.9730354391371341,-0.0023112480739598817,0.8644952500260987,0.8593128222597277,-0.005182427766371012,28.17748230000052,9.161711700000524,3.075569634001789,5.603235747303543,0.785824345146379,0.9640287769784173,0.8085583014462505
AIDS,AIDS,graph,e,GCN,30,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\AIDS\30\best_model.zip,0.03775038520801233,0.03775038520801233,0.0,0.03637713437268003,0.03637713437268003,0.0,74.50683679999929,24.72627190000003,3.013266096131508,3.98151001540832,0.0,1.0,0.5326663903168795
AIDS,AIDS,graph,e,GCN,50,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\AIDS\50\best_model.zip,0.03775038520801233,0.03775038520801233,0.0,0.03637713437268003,0.03637713437268003,0.0,42.21864730000016,30.282819299999574,1.3941452043073397,4.168721109399076,0.0,1.0,0.5326663900413572
AIDS,AIDS,graph,n,GCN,10,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\AIDS\10\best_model.zip,0.9591679506933745,0.9591679506933745,0.0,0.7320886832645972,0.7320886832645972,0.0,29.496949000000313,24.533505200000036,1.2023128680364952,2.433744221879815,0.0,0.9961479198767335,0.5125277341789751
AIDS,AIDS,graph,n,GCN,30,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\AIDS\30\best_model.zip,0.963020030816641,0.963020030816641,0.0,0.51057344854674,0.51057344854674,0.0,40.72858029999952,29.43034540000008,1.3838974618354092,4.023882896764253,0.0,0.9992295839753467,0.5328109748833719
AIDS,AIDS,graph,n,GCN,50,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\AIDS\50\best_model.zip,0.9714946070878274,0.9722650231124808,0.0007704160246533309,0.8512735549602837,0.8542391914654688,0.0029656365051851097,43.04211419999956,16.8414044000001,2.5557318842126553,7.88828967642527,0.7419106317411402,0.9701492537313433,0.7758553457002978
DD,DD,graph,e,GCN,10,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\DD\10\best_model.zip,0.792016806722689,0.792016806722689,0.0,0.7101256712616952,0.7101256712616952,0.0,15.944741199999953,12.49148089999926,1.2764492318921847,3.222689075630252,0.03991596638655462,0.9606126914660832,0.61062054348593
DD,DD,graph,e,GCN,30,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\DD\30\best_model.zip,0.792016806722689,0.792016806722689,0.0,0.7348637015781923,0.7348637015781923,0.0,47.7879726000001,37.3589477000005,1.279157351640273,8.831932773109244,0.03991596638655462,0.9562363238512035,0.6106205438615895
DD,DD,graph,e,GCN,50,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\DD\50\best_model.zip,0.8088235294117647,0.8088235294117647,0.0,0.7525464589510246,0.7525464589510246,0.0,80.81142589999945,57.87918679999984,1.3962087300784203,15.424369747899163,0.01680672268907563,0.9829059829059829,0.5989984255127546
DD,DD,graph,n,GCN,10,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\DD\10\best_model.zip,0.7668067226890757,0.7689075630252101,0.0021008403361344463,0.6181459452036974,0.6232009211283823,0.005054975924684957,15.97654429999966,12.749388100000033,1.2531224380878028,2.9789915966386555,0.029411764705882353,0.9523809523809523,0.5652454229963928
DD,DD,graph,n,GCN,30,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\DD\30\best_model.zip,0.8088235294117647,0.8088235294117647,0.0,0.764237156215472,0.764237156215472,0.0,47.66991710000002,35.458609700000125,1.3443820133760025,9.161764705882351,0.029411764705882353,0.974025974025974,0.5652454232468325
DD,DD,graph,n,GCN,50,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\DD\50\best_model.zip,0.8004201680672269,0.8004201680672269,0.0,0.7218377653521317,0.7218377653521317,0.0,75.99213820000023,54.28621269999985,1.399842324973988,15.838235294117645,0.023109243697478993,0.9913978494623656,0.5528598725795746
PROTEINS,PROTEINS,graph,e,GCN,10,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\PROTEINS\10\best_model.zip,0.754257907542579,0.754257907542579,0.0,0.567688318180398,0.567688318180398,0.0,14.099744199999805,10.949598399999559,1.287695099392903,3.3649635036496344,0.0,0.9854014598540146,0.6453067905421385
PROTEINS,PROTEINS,graph,e,GCN,30,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\PROTEINS\30\best_model.zip,0.7566909975669099,0.7566909975669099,0.0,0.6156004489337823,0.6156004489337823,0.0,20.539321399999608,24.950387599999885,0.8232065060183554,8.754257907542577,0.0,0.9878345498783455,0.645306790107068
PROTEINS,PROTEINS,graph,e,GCN,50,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\PROTEINS\50\best_model.zip,0.7591240875912408,0.7591240875912408,0.0,0.4315352697095436,0.4315352697095436,0.0,47.84047569999984,28.76081239999985,1.6633909722244178,16.145985401459853,0.0,1.0,0.5414759022185982
PROTEINS,PROTEINS,graph,n,GCN,10,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\PROTEINS\10\best_model.zip,0.7639902676399026,0.7639902676399026,0.0,0.48702343116692615,0.48702343116692615,0.0,12.725647300000674,11.254285899999559,1.1307378729379154,3.1776155717761556,0.0,0.9854014598540146,0.5660345315063087
PROTEINS,PROTEINS,graph,n,GCN,30,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\PROTEINS\30\best_model.zip,0.7761557177615572,0.7761557177615572,0.0,0.5743425792507204,0.5743425792507204,0.0,30.420592800000122,21.925813599999856,1.3874327929158499,7.2798053527980535,0.0,0.9854014598540146,0.5660345313612852
PROTEINS,PROTEINS,graph,n,GCN,50,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\PROTEINS\50\best_model.zip,0.7591240875912408,0.7591240875912408,0.0,0.5559762977836463,0.5559762977836463,0.0,34.03860369999984,23.768975899999532,1.4320601713429526,8.160583941605838,0.0,0.9878345498783455,0.5660345312162618
CiteSeer,CiteSeer,node,e,GCN,200,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\CiteSeer\200\best_model.zip,0.6737388024516737,0.6737388024516737,0.0,0.6251046371400498,0.6251046371400498,0.0,1.4559533999999985,7.462794900000517,0.19509492348502,98.71239981140971,0.0,1.0,0.27557725083822354
CiteSeer,CiteSeer,node,e,GCN,300,./checkpoints\robust_e-20260411T155751Z-3-001\robust_e\GCN\CiteSeer\300\best_model.zip,0.685997171145686,0.686940122583687,0.0009429514380009385,0.6311594258035209,0.628861740914565,-0.0022976848889558754,1.7851002000006702,9.746361499999693,0.1831555498942581,164.61291843470062,0.10513908533710514,1.0,0.6100322544743351
CiteSeer,CiteSeer,node,n,GCN,100,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\CiteSeer\100\best_model.zip,0.7722772277227723,0.7722772277227723,0.0,0.7467446583882715,0.7467446583882715,0.0,1.142980599999646,3.867591000000175,0.29552778460793666,48.66148043375766,0.0,1.0,0.3098894331827303
CiteSeer,CiteSeer,node,n,GCN,200,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\CiteSeer\200\best_model.zip,0.6628948609146629,0.6628948609146629,0.0,0.6191860354165365,0.6191860354165365,0.0,1.4513239999996586,7.47220599999946,0.19422965587401678,98.61716171617162,0.0,1.0,0.38913943928713396
CiteSeer,CiteSeer,node,n,GCN,300,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\CiteSeer\300\best_model.zip,0.6676096181046676,0.6676096181046676,0.0,0.6225162194774527,0.6225162194774527,0.0,1.8888624999999593,10.953751900000498,0.17243977380936237,148.67138142385667,0.0,1.0,0.5018709319371876
CiteSeer,CiteSeer,node,n,GCN,400,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\CiteSeer\400\best_model.zip,0.6685525695426685,0.6685525695426685,0.0,0.6203027515480093,0.6186353292578355,-0.0016674222901738034,2.302437700000155,13.409028899999612,0.17170801235279773,215.93917963224894,0.0858085808580858,1.0,0.5876527889010368
CiteSeer,CiteSeer,node,n,GCN,500,./checkpoints\robust_n-20260411T155754Z-3-001\robust_n\GCN\CiteSeer\500\best_model.zip,0.7675624705327676,0.7675624705327676,0.0,0.730654480172433,0.730654480172433,0.0,2.525536500000271,18.177522599999975,0.13893733241736003,248.63224893917962,0.0,1.0,0.29156111181484873
